time [s], mxb, myb, mzb, sxb, syb, szb
17, 3.648501e-01, -4.822372e-01, -7.964494e-01, -4.518719e-01, 6.481010e-01, -6.130064e-01
1.710000e+01, 3.233521e-01, -6.639933e-01, -6.742079e-01, -1.150002e-01, 6.656108e-01, -7.373854e-01
1.720000e+01, 2.226794e-01, -8.172327e-01, -5.315492e-01, 2.265411e-01, 5.713975e-01, -7.887864e-01
1.730000e+01, 6.166108e-02, -9.084058e-01, -4.135175e-01, 5.274906e-01, 3.786046e-01, -7.605342e-01
1.740000e+01, -1.491595e-01, -9.280641e-01, -3.412456e-01, 7.449294e-01, 1.119293e-01, -6.576869e-01
1.750000e+01, -3.511608e-01, -8.874844e-01, -2.984252e-01, 8.496921e-01, -1.872745e-01, -4.929013e-01
1.760000e+01, -5.516151e-01, -7.768744e-01, -3.036231e-01, 8.277623e-01, -4.807835e-01, -2.892349e-01
1.770000e+01, -6.998412e-01, -6.186867e-01, -3.570000e-01, 6.800544e-01, -7.293328e-01, -7.483127e-02
1.780000e+01, -7.801109e-01, -4.353583e-01, -4.493219e-01, 4.285805e-01, -8.954502e-01, 1.203651e-01
1.790000e+01, -7.828080e-01, -2.444662e-01, -5.722307e-01, 1.096484e-01, -9.572726e-01, 2.675936e-01
18, -7.023907e-01, -8.440629e-02, -7.067694e-01, -2.361332e-01, -9.069093e-01, 3.489365e-01
1.810000e+01, -5.590666e-01, 2.339067e-02, -8.287928e-01, -5.584508e-01, -7.503780e-01, 3.536462e-01
1.820000e+01, -3.717551e-01, 8.302745e-02, -9.246105e-01, -8.144547e-01, -5.094156e-01, 2.777757e-01
1.830000e+01, -1.555974e-01, 6.882043e-02, -9.854203e-01, -9.661569e-01, -2.196459e-01, 1.352650e-01
1.840000e+01, 5.221874e-02, -1.287054e-02, -9.985527e-01, -9.949166e-01, 8.354236e-02, -5.622790e-02
1.850000e+01, 2.193825e-01, -1.572171e-01, -9.628884e-01, -8.957949e-01, 3.533143e-01, -2.696674e-01
1.860000e+01, 3.175901e-01, -3.456111e-01, -8.830003e-01, -6.831701e-01, 5.544224e-01, -4.752835e-01
